Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
16669,10102,0.05,0.049,163.0,5.273,0.05,0.049,p0012,2024,2903,1448.0,-1
16684,10104,237.37,232.293,13176.0,12839.104,237.37,232.293,p0012,2024,2575115,2558249.0,-1
16685,10105,977.62,956.632,52575.0,51439.34,977.62,956.632,p0012,2024,10696321,10645210.0,-1
16687,10107,922.105,901.834,48350.0,47104.673,922.105,901.834,p0012,2024,10060834,10013623.0,-1
16690,10109,11.177,10.98,834.0,789.439,11.177,10.98,p0012,2024,123371,122137.0,-1
16693,10112,532.71,520.291,26155.0,25405.983,532.71,520.291,p0012,2024,5717852,5687504.0,-1
16696,10115,782.956,764.902,38574.0,37640.027,782.956,764.902,p0012,2024,8514554,8473292.0,-1
16697,10116,951.948,931.372,50160.0,49081.357,951.948,931.372,p0012,2024,10351698,10302202.0,-1
16698,10117,39.849,39.051,2478.0,2406.775,39.849,39.051,p0012,2024,433621,430156.0,-1
16699,10118,973.766,952.901,52042.0,50882.523,973.766,952.901,p0012,2024,10616019,10567012.0,-1
16700,10119,54.018,52.84,3087.0,3000.306,54.018,52.84,p0012,2024,586737,582413.0,-1
16715,10122,1015.516,993.838,54253.0,53052.893,1015.516,993.838,p0012,2024,10310305,10262553.0,-1
16716,10123,7.07,6.939,846.0,470.744,7.07,6.939,p0012,2024,77740,76977.0,-1
16730,10125,940.786,920.001,49086.0,47983.874,940.786,920.001,p0012,2024,10218705,10169565.0,-1
16731,10126,717.303,700.306,35511.0,34075.741,717.303,700.306,p0012,2024,7798814,7759567.0,-1
16732,10127,696.668,680.4,34265.0,33431.396,696.668,680.4,p0012,2024,7553351,7515003.0,-1
16798,10130,908.866,888.516,46712.0,45645.94,908.866,888.516,p0012,2024,9926117,9879201.0,-1
16800,10132,493.688,482.134,24520.0,23459.991,493.688,482.134,p0012,2024,5288597,5261163.0,-1
16802,10134,866.456,846.84,43554.0,42551.709,866.456,846.84,p0012,2024,9382191,9338133.0,-1
16805,10137,611.033,596.53,29598.0,28863.866,611.033,596.53,p0012,2024,6622647,6587884.0,-1
16806,10138,522.208,509.84,26016.0,24717.517,522.208,509.84,p0012,2024,5614120,5584895.0,-1
16848,10139,93.891,91.763,5079.0,4908.719,93.891,91.763,p0012,2024,1004407,997364.0,-1
16850,10141,92.292,90.188,4942.0,4764.529,92.292,90.188,p0012,2024,988106,981463.0,-1
16853,10144,338.821,330.892,16641.0,16217.708,338.821,330.892,p0012,2024,3566469,3546038.0,-1
16901,10189,184.594,180.422,9722.0,9299.277,184.594,180.422,p0012,2024,36075,35884.0,-1
16916,10190,628.975,614.61,31733.0,30801.966,628.975,614.61,p0012,2024,6619358,6584770.0,-1
16923,10197,882.394,862.635,45100.0,44105.86,882.394,862.635,p0012,2024,9841151,9790586.0,-1
16929,10199,913.339,890.717,47373.0,46141.898,913.339,890.717,p0012,2024,9780176,9730696.0,-1
16930,10200,960.392,937.019,50772.0,49558.96,960.392,937.019,p0012,2024,10278574,10228064.0,-1
16931,10201,890.941,868.917,45916.0,44758.973,890.941,868.917,p0012,2024,6739871,6706452.0,-1
16932,10202,36.278,35.495,2424.0,2277.51,36.278,35.495,p0012,2024,0,0.0,-1
16934,10204,868.379,846.652,44463.0,43344.455,868.379,846.652,p0012,2024,8924772,8878298.0,-1
16936,10206,204.209,198.985,10352.0,10059.8,204.209,198.985,p0012,2024,2161569,2148324.0,-1
16937,10207,160.891,156.776,8214.0,7955.436,160.891,156.776,p0012,2024,1696644,1684508.0,-1
16938,10208,542.407,528.185,26399.0,25645.602,542.407,528.185,p0012,2024,5724702,5694339.0,-1
16939,10209,167.476,163.155,8484.0,8196.48,167.476,163.155,p0012,2024,1759603,1748572.0,-1
16940,10210,719.209,700.245,34947.0,33921.837,719.209,700.245,p0012,2024,7653724,7613957.0,-1
16941,10211,936.896,914.168,49481.0,48269.983,936.896,914.168,p0012,2024,10013646,9965175.0,-1
16943,10213,750.778,731.11,36359.0,35361.107,750.778,731.11,p0012,2024,0,0.0,-1
16963,10214,36.786,36.218,3678.0,3597.554,36.786,36.218,p0012,2024,390085,387357.0,-1
